Observation ID,Date,Date Known,Landmark,First Name,Longitude,latitude,Last Name,#,Elevation,Aspect,Type,Trigger,Secondary Trigger,Relative Size,Destructive Size,Incident,Area,Location,Description,Comments,Sliding Sfc,Status,Locked,Weak Layer,Avg Width,Width Units,Avg Vertical,Vertical Units,Avg Crown,Crown Units,Terminus
49238b1d-79ff-41e9-95fd-16260e1b1b61, 2026-02-13T02:13:00Z, Known, -, -, -107.4270133, 39.7628274, -, 3, TL, E, L, N, -, R1, D1, -, Steamboat & Flat Tops, E facing cliffs south., We observed several small Storm Slab Avalanches below corniced features. These were likely triggered by small chunks falling off the cornice. They did not break deeper or wider and only entrained the new storm snow. We also observed several Loose Dry Avalanches below the steep cliffs around Blair Mountain.   There was a slightly larger snowcat-triggered avalanche on a steep roadcut at a lower elevation where the new snow was more cohesive. , Little natural activity observed., S, approved, -, Layer, -, m, -, m, 35, cm, U
49238b1d-79ff-41e9-95fd-16260e1b1b61, 2026-02-13T02:13:00Z, Known, -, -, -107.2578977, 39.7283224, -, 1, <TL, N, SS, AK, U, R2, D1, -, Steamboat & Flat Tops, N facing slope., We observed several small Storm Slab Avalanches below corniced features. These were likely triggered by small chunks falling off the cornice. They did not break deeper or wider and only entrained the new storm snow. We also observed several Loose Dry Avalanches below the steep cliffs around Blair Mountain.   There was a slightly larger snowcat-triggered avalanche on a steep roadcut at a lower elevation where the new snow was more cohesive. , Weak faceted grains present in lower snowpack., S, approved, -, Layer, -, m, -, m, 30, cm, U
3d2974e6-8de4-4393-8b09-d020fd9e4986, 2026-02-12T21:00:00Z, Known, -, -, -107.1882824, 39.0323313, -, 1, TL, E, SS, AR, u, R1, D1.5, -, Aspen, Marble Bowl, It was difficult to approach any steep slopes facing northwest through north to northeast without triggering a large avalanche from about 5 to 25 feet away. All the avalanches were failing on near-surface facets (FCsf) from the most recent drought that just got buried yesterday (February 11). Although it was very easy to trigger avalanches the avalanches weren't propagating surprisingly wide or wrapping multiple terrain features; the widest avalanche was around 250 feet wide on a northeast-facing slope., -, O, approved, -, -, -, -, -, -, -, -, -
79ab3f92-2b99-41e6-aaf8-3918060a139f, 2026-02-12T21:00:00Z, Known, -, -, -107.062698, 38.923067, -, 1, TL, NE, SS, AS, r, -, D2, -, Gunnison, -, Three large slab avalanches ran today on NE to E aspects NTL on Schuylkill Ridge.  These broke at the storm interface and were all on old bedsurfaces of repeat offenders (Great Wide Open Thanksgiving Bowl and Birthday Bowl).  We also remotely triggered a similar avalanche in Yogis from about 20 feet away.  Below treeline there were a few small pockets that ran naturally (D1 storm slabs) and we ski triggered one.  Warm temperatures and greenhouse conditions also produced a handful of small wet loose avalanches both on sunny aspects and low-elevation northerly aspects., Skier's left side of Yogis either a D1.5 or D2 debris didn't reach bench couldn't see how big it got.  The slide broke about 20' below ridgeline triggered while I was stomping along the top of the ridge., I, approved, -, -, -, ft, -, ft, 30, cm, -
cf29b4da-aac5-4f7e-b174-76c489a4c7b2, 2026-02-12T20:00:00Z, Estimated, -, -, -106.984391, 40.8232073, -, 3, <TL, E, SS, N, -, R2, D1.5, -, Steamboat & Flat Tops, -, Natural storm slab avalanches breaking at the new snow/old snow interface were seen on all eastern aspects steep enough to slide below treeline in the observed area. , -, I, approved, -, Interface, 200, ft, 80, ft, 40, cm, BP
79ab3f92-2b99-41e6-aaf8-3918060a139f, 2026-02-12T19:50:00Z, Known, -, -, -107.058766, 38.919702, -, 1, TL, NE, SS, N, -, -, D2, -, Gunnison, -, Three large slab avalanches ran today on NE to E aspects NTL on Schuylkill Ridge.  These broke at the storm interface and were all on old bedsurfaces of repeat offenders (Great Wide Open Thanksgiving Bowl and Birthday Bowl).  We also remotely triggered a similar avalanche in Yogis from about 20 feet away.  Below treeline there were a few small pockets that ran naturally (D1 storm slabs) and we ski triggered one.  Warm temperatures and greenhouse conditions also produced a handful of small wet loose avalanches both on sunny aspects and low-elevation northerly aspects., We saw this run naturally during a period when the sun came through the clouds and it felt especially warm with many tree bombs occurring.  We skinned across the top of this feature 20 minutes earlier and got shooting cracks at ridgeline but they didn't extend down to the starting zone of this avalanche., I, approved, -, -, -, ft, -, ft, 30, cm, -
79ab3f92-2b99-41e6-aaf8-3918060a139f, 2026-02-12T19:45:00Z, Known, -, -, -107.058561, 38.921602, -, 1, <TL, NE, SS, AS, -, -, D1, -, Gunnison, -, Three large slab avalanches ran today on NE to E aspects NTL on Schuylkill Ridge.  These broke at the storm interface and were all on old bedsurfaces of repeat offenders (Great Wide Open Thanksgiving Bowl and Birthday Bowl).  We also remotely triggered a similar avalanche in Yogis from about 20 feet away.  Below treeline there were a few small pockets that ran naturally (D1 storm slabs) and we ski triggered one.  Warm temperatures and greenhouse conditions also produced a handful of small wet loose avalanches both on sunny aspects and low-elevation northerly aspects., We saw this run naturally during a period when the sun came through the clouds and it felt especially warm with many tree bombs occurring.  We skinned across the top of this feature 20 minutes earlier and got shooting cracks at ridgeline but they didn't extend down to the starting zone of this avalanche., I, approved, -, -, 10, ft, -, ft, 25, cm, -
-, 2026-02-12T19:26:00Z, Known, -, -, -106.9951523, 38.9444979, -, 1, <TL, NE, -, AS, c, -, D1, -, Gunnison, -, -, Did a ski cut and stomped and got this to go on the steeper slope just north of true Abby Lane, I, approved, -, -, -, ft, -, ft, -, cm, -
98b6c44c-bde3-4154-888e-677ef8a8e1c0, 2026-02-12T19:00:00Z, Known, -, -, -107.0717136, 38.9461635, -, 1, <TL, NE, SS, AS, r, R1, D1, -, Gunnison, -, On our second ascent we saw 2 dry loose sloughs and a 8in storm slab avalanche that would be classified as a D1 but due to the trees that caught the debris (terrain trap) it piled up 3 feet deep (could have buried a human). Our best guess is that it was remotely triggered by my partner on his first lap. No other instabilities noted in Pittsburg Rollers., -, I, approved, -, -, 100, ft, 100, ft, 20, cm, MP
79ab3f92-2b99-41e6-aaf8-3918060a139f, 2026-02-12T19:00:00Z, Estimated, -, -, -107.116667, 38.933857, -, 1, >TL, SE, -, N, -, -, D1.5, -, Gunnison, -, Three large slab avalanches ran today on NE to E aspects NTL on Schuylkill Ridge.  These broke at the storm interface and were all on old bedsurfaces of repeat offenders (Great Wide Open Thanksgiving Bowl and Birthday Bowl).  We also remotely triggered a similar avalanche in Yogis from about 20 feet away.  Below treeline there were a few small pockets that ran naturally (D1 storm slabs) and we ski triggered one.  Warm temperatures and greenhouse conditions also produced a handful of small wet loose avalanches both on sunny aspects and low-elevation northerly aspects., Flat light could see debris pile but hard to make out crown., -, approved, -, -, -, ft, -, ft, -, cm, -
